directory,file_name,variable_name,variable_type,description
data,pkgreviewtest.rda,id,character,Water point identifier
data,pkgreviewtest.rda,region,character,Region where the water point is located
data,pkgreviewtest.rda,waterSource,character,Type of water source
data,pkgreviewtest.rda,status,character,
data,pkgreviewtest.rda,installation_date,character,Date the water point was installed
data,pkgreviewtest.rda,users_count,integer,TODO
data,pkgreviewtest.rda,owner_phone,character,Phone number of the water point owner
data,pkgreviewtest.rda,women_users,integer,Number of women among the water point users
data,pkgreviewtest.rda,latitude,numeric,Latitude of the water point in decimal degrees
data,pkgreviewtest.rda,longitude,numeric,Longitude of the water point in decimal degrees
